Date,Name,Year,Letterboxd URI,Rating
2023-08-04,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,3
2023-08-04,Mulholland Drive,2001,https://boxd.it/297o,4.5
2023-08-05,The Hunt,2012,https://boxd.it/3wEC,5
2023-08-08,Baby Driver,2017,https://boxd.it/bhF2,3.5
2023-08-13,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2023-08-13,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,3.5
2023-08-13,The Mask,1994,https://boxd.it/29rS,3.5
2023-08-13,Alice in Wonderland,2010,https://boxd.it/1Spq,3
2023-08-14,The Departed,2006,https://boxd.it/28MA,5
2023-08-14,Now You See Me,2013,https://boxd.it/2Bsu,3.5
2023-08-15,Rush,2013,https://boxd.it/3lyS,4
2023-08-17,Apocalypse Now,1979,https://boxd.it/6ZS,4
2023-08-18,Super Mario Bros.,1993,https://boxd.it/1YfG,0.5
2023-08-19,Rio,2011,https://boxd.it/NKc,3.5
2023-08-19,Warrior,2011,https://boxd.it/i3G,4.5
2023-08-19,The Fighter,2010,https://boxd.it/PP4,4.5
2023-08-20,The BFG,2016,https://boxd.it/81cs,2
2023-08-21,Mr. Nobody,2009,https://boxd.it/1k44,4.5
2023-08-21,Snowden,2016,https://boxd.it/9CWO,3.5
2023-08-22,Blue Beetle,2023,https://boxd.it/kJLq,3
2023-08-23,The Prestige,2006,https://boxd.it/293w,5
2023-08-24,Oppenheimer,2023,https://boxd.it/wUow,5
2023-08-24,The Lighthouse,2019,https://boxd.it/icFU,5
2023-08-25,Fractured,2019,https://boxd.it/kPL2,4
2023-08-29,Green Book,2018,https://boxd.it/hErk,4
2023-08-30,Framed,2017,https://boxd.it/hQkU,4.5
2023-09-01,Coffee and Cigarettes,2003,https://boxd.it/29nc,5
2023-09-02,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,5
2023-09-03,High-Rise,2015,https://boxd.it/7tmo,3
2023-09-04,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2023-09-05,A Beautiful Mind,2001,https://boxd.it/2amk,4.5
2023-09-05,Doubt,2008,https://boxd.it/1OfQ,4.5
2023-09-05,After.Life,2009,https://boxd.it/1aAY,3
2023-09-12,First Man,2018,https://boxd.it/cPym,4
2023-09-13,Dragonball Evolution,2009,https://boxd.it/1ODy,0.5
2023-09-13,Dragon Ball Z: Lord Slug,1991,https://boxd.it/14sY,3.5
2023-09-13,12 Angry Men,1957,https://boxd.it/2auI,5
2023-09-13,12 Angry Men,1997,https://boxd.it/1Sg4,4.5
2023-09-13,Stalled,2022,https://boxd.it/D3na,3
2023-09-14,The Nun II,2023,https://boxd.it/AyRY,2
2023-09-14,Paths of Glory,1957,https://boxd.it/29b6,4.5
2023-09-15,The Revenant,2015,https://boxd.it/8H5e,4
2023-09-16,Blade Runner 2049,2017,https://boxd.it/b8wK,3.5
2023-09-16,Taken 2,2012,https://boxd.it/2TWi,3
2023-09-16,Taken 3,2014,https://boxd.it/7Iqq,2
2023-09-19,Memories of Murder,2003,https://boxd.it/1TSo,5
2023-09-19,Mandela,1996,https://boxd.it/nGI,3
2023-09-19,Saw,2003,https://boxd.it/7eiG,3.5
2023-09-19,Whiplash,2013,https://boxd.it/cJds,4
2023-09-19,Escape Room,2019,https://boxd.it/iYlS,3
2023-09-19,Escape Room: Tournament of Champions,2021,https://boxd.it/lwCM,2.5
2023-09-20,Eyes Wide Shut,1999,https://boxd.it/2axs,4.5
2023-09-21,The Machinist,2004,https://boxd.it/248c,5
2023-09-22,High and Low,1963,https://boxd.it/1RSc,5
2023-09-22,The Great Beauty,2013,https://boxd.it/5ty6,4.5
2023-09-23,Forrest Gump,1994,https://boxd.it/728,4.5
2023-09-23,Ex Machina,2015,https://boxd.it/7T2k,4.5
2023-09-23,The Big Short,2015,https://boxd.it/ajZw,4.5
2023-09-23,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4
2023-09-23,Your Name.,2016,https://boxd.it/cUqs,4
2023-09-23,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2023-09-23,Squid Game,2021,https://boxd.it/x1OG,4
2023-09-23,Nobody,2021,https://boxd.it/mLqS,4
2023-09-23,The Platform,2019,https://boxd.it/mUm6,4.5
2023-09-23,Million Dollar Baby,2004,https://boxd.it/2bdI,4
2023-09-23,The Karate Kid,1984,https://boxd.it/27Wk,4
2023-09-23,Insomnia,2002,https://boxd.it/2aB0,4
2023-09-23,Brothers,2009,https://boxd.it/20WW,4
2023-09-23,WHAT DID JACK DO?,2017,https://boxd.it/jcWe,3.5
2023-09-23,Burnt,2015,https://boxd.it/9mVg,4
2023-09-23,21,2008,https://boxd.it/20BO,4
2023-09-23,The English Game,2020,https://boxd.it/pAda,4
2023-09-23,Knives Out,2019,https://boxd.it/jWEA,3.5
2023-09-23,Tenet,2020,https://boxd.it/leq4,3.5
2023-09-23,Spider-Man,2002,https://boxd.it/2a8i,3.5
2023-09-23,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5
2023-09-23,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3.5
2023-09-23,Shrek,2001,https://boxd.it/29zi,3.5
2023-09-23,The Hunger Games,2012,https://boxd.it/2uds,3.5
2023-09-23,The Lion King,1994,https://boxd.it/201Q,3.5
2023-09-23,Shrek 2,2004,https://boxd.it/29z8,3
2023-09-23,Edward Scissorhands,1990,https://boxd.it/2aZc,3.5
2023-09-23,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5
2023-09-23,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3.5
2023-09-23,The Imitation Game,2014,https://boxd.it/6aig,3.5
2023-09-23,The Hangover,2009,https://boxd.it/1GjK,3.5
2023-09-23,Ready Player One,2018,https://boxd.it/aZes,3.5
2023-09-23,Bird Box,2018,https://boxd.it/eh1i,3.5
