Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-05-11,Sleepers,1996,https://boxd.it/9EICz9,4,,prime,2025-05-10
2025-05-13,Enemy,2013,https://boxd.it/9G0kbN,4,,prime,2025-05-12
2025-05-14,The Texas Chain Saw Massacre,1974,https://boxd.it/9H1ktD,4,,prime,2025-05-14
2025-05-16,"Love, Death & Robots: Helping Hand",2019,https://boxd.it/9HB14L,4,Yes,,2025-05-15
2025-05-16,The Northman,2022,https://boxd.it/9I27cF,4.5,,netflix,2025-05-16
2025-05-16,"Love, Death & Robots: Alternate Histories",2019,https://boxd.it/9I29gp,3.5,,,2025-05-16
2025-05-17,"Love, Death & Robots: Can't Stop",2025,https://boxd.it/9Incej,3,,,2025-05-17
2025-05-17,"Love, Death & Robots: Close Encounters of the Mini Kind",2025,https://boxd.it/9Incrx,3.5,,,2025-05-17
2025-05-17,"Love, Death & Robots: Spider Rose",2025,https://boxd.it/9IncFJ,3,,,2025-05-17
2025-05-17,"Love, Death & Robots: 400 Boys",2025,https://boxd.it/9Izy37,3.5,,,2025-05-17
2025-05-17,"Love, Death & Robots: The Other Large Thing",2025,https://boxd.it/9Izyhj,4,,,2025-05-17
2025-05-17,"Love, Death & Robots: Golgotha",2025,https://boxd.it/9IzFFR,2,,,2025-05-17
2025-05-17,"Love, Death & Robots: The Screaming of the Tyrannosaur",2025,https://boxd.it/9IzQrL,3.5,,,2025-05-17
2025-05-17,"Love, Death & Robots: How Zeke Got Religion",2025,https://boxd.it/9IA2OH,4,,,2025-05-17
2025-05-17,"Love, Death & Robots: Smart Appliances, Stupid Owners",2025,https://boxd.it/9IAfIH,3,,,2025-05-17
2025-05-17,"Love, Death & Robots: For He Can Creep",2025,https://boxd.it/9IAsyl,3.5,,,2025-05-17
2025-05-30,Oldboy,2003,https://boxd.it/9Qfz8T,5,Yes,prime,2025-05-29
2025-05-30,The Phoenician Scheme,2025,https://boxd.it/9Qn06z,4.5,,cinema,2025-05-29
2025-05-31,Nowhere,2023,https://boxd.it/9R1xpT,2.5,,netflix,2025-05-30
2025-06-03,Mad Max: Fury Road,2015,https://boxd.it/9TiEHx,5,Yes,netflix,2025-06-03
2025-06-07,Seven Samurai,1954,https://boxd.it/9Vy3iP,5,,prime,2025-06-07
2025-06-08,The Florida Project,2017,https://boxd.it/9VCaYr,4.5,,mubi,2025-06-07
2025-06-08,World of Glory,1991,https://boxd.it/9We8Hp,4,,mubi,2025-06-08
2025-06-10,The House,2022,https://boxd.it/9X5E8H,4.5,,netflix,2025-06-09
2025-06-11,This Must Be the Place,2011,https://boxd.it/9XI34V,4.5,,infinity,2025-06-10
2025-06-15,Cast Away,2000,https://boxd.it/a072eX,3.5,,prime,2025-06-14
2025-08-12,Late Night with the Devil,2023,https://boxd.it/aH99hF,4,,streaming,2025-06-18
2025-06-20,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/a3j8uj,4.5,,streaming,2025-06-19
2025-06-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/a3WrUN,5,,streaming,2025-06-20
2025-06-22,Detachment,2011,https://boxd.it/a4GbNj,4.5,Yes,prime,2025-06-21
2025-06-23,Scenes from a Marriage,1974,https://boxd.it/a5LPmL,4,,mubi,2025-06-22
2025-07-02,28 Days Later,2002,https://boxd.it/abp10b,4,,prime,2025-07-01
2025-07-12,Circle,2015,https://boxd.it/aiCii1,3,,netflix,2025-07-11
2025-07-22,Revenge,2017,https://boxd.it/aqdFVn,3.5,,mubi,2025-07-21
2025-07-23,Skins,2017,https://boxd.it/arfFSr,2,,netflix,2025-07-22
2025-07-24,The Lobster,2015,https://boxd.it/asn1WD,4.5,,streaming,2025-07-24
2025-07-26,Her,2013,https://boxd.it/atf2PV,5,Yes,mubi,2025-07-25
2025-08-07,Twin Peaks,1989,https://boxd.it/aDvNvP,5,,mubi,2025-08-06
2025-08-08,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/aE4dXX,4.5,,streaming,2025-08-07
2025-08-10,Dead Poets Society,1989,https://boxd.it/aFG8Bd,4,,netflix,2025-08-09
2025-08-12,Lux Æterna,2019,https://boxd.it/aH7UAb,3.5,,mubi,2025-08-11
2025-08-17,Mia,2023,https://boxd.it/aKGJSb,3.5,,prime,2025-08-16
2025-08-20,The Boy and the Heron,2023,https://boxd.it/aN1KrF,3.5,,netflix,2025-08-19
2025-08-31,Come and See,1985,https://boxd.it/aUCOSR,5,,kraken,2025-08-30
2025-09-12,Elephant,2003,https://boxd.it/b2tXFh,4,,kraken,2025-09-11
2025-09-13,The Conjuring: Last Rites,2025,https://boxd.it/b3cpjV,3,,cinema,2025-09-12
2025-09-18,The Money,2004,https://boxd.it/b6b75r,3,,,2025-09-17
2025-09-20,If Anything Happens I Love You,2020,https://boxd.it/b7as0p,4,,netflix,2025-09-19
2025-09-21,Corpse Bride,2005,https://boxd.it/b7IuOz,4,Yes,prime,2025-09-20
2025-10-07,Queer,2024,https://boxd.it/bhSrc3,4,,mubi,2025-10-04
2025-10-06,One Battle After Another,2025,https://boxd.it/bhaUbl,4.5,,cinema,2025-10-05
2025-10-10,Enter the Void,2009,https://boxd.it/bjtGwl,5,Yes,mubi,2025-10-08
2025-10-10,X,2022,https://boxd.it/bjvYFJ,4,,mubi,2025-10-09
2025-10-11,Together,2025,https://boxd.it/bkhD1z,3,,cinema,2025-10-10
2025-10-13,Megalopolis,2024,https://boxd.it/blA1D3,2.5,,mubi,2025-10-12
2025-10-14,The Straight Story,1999,https://boxd.it/bmQc9J,3.5,,mubi,2025-10-14
2025-10-16,The Intern,2015,https://boxd.it/bnx77z,3.5,,netflix,2025-10-15
2025-10-16,Uncut Gems,2019,https://boxd.it/bnJjQF,4.5,,netflix,2025-10-15
2025-10-18,Il Baracchino,2025,https://boxd.it/boJcSN,4,,prime,2025-10-17
2025-10-21,Secret Level - Sifu: It Takes a Life,2024,https://boxd.it/brsKKB,4.5,,,2025-10-21
2025-10-21,Secret Level - Dungeons & Dragons: The Queen's Cradle,2024,https://boxd.it/brsXuh,3.5,,,2025-10-21
2025-10-26,The Players,2020,https://boxd.it/burjP5,2.5,,prime,2025-10-25
2025-11-01,MaXXXine,2024,https://boxd.it/byggE3,3,,kraken,2025-10-30
2025-11-11,The Cord,2019,https://boxd.it/bFsWwR,4,,,2025-11-10
2025-11-24,Mia,2023,https://boxd.it/bOQRmr,3.5,Yes,prime,2025-11-22
2025-12-09,Sun In Buckets,2013,https://boxd.it/bZ3M07,3.5,Yes,netflix,2025-12-05
2025-12-08,Arrival,2016,https://boxd.it/bYiSIl,4.5,,netflix,2025-12-07
2025-12-09,What a Beautiful Day,2011,https://boxd.it/bZ3Miv,3,Yes,netflix,2025-12-08
2025-12-12,Five Nights at Freddy's 2,2025,https://boxd.it/c0U8sZ,2.5,,cinema,2025-12-11
2025-12-17,Where Am I Going?,2016,https://boxd.it/c5a7br,3.5,Yes,netflix,2025-12-16
2025-12-18,War Dogs,2016,https://boxd.it/c5Ah9d,4,Yes,netflix,2025-12-17
2025-12-20,Tolo Tolo,2020,https://boxd.it/c7pPKt,3.5,Yes,netflix,2025-12-18
2025-12-23,Avatar: Fire and Ash,2025,https://boxd.it/caWIBd,4,,cinema,2025-12-22
2025-12-24,Nuremberg,2025,https://boxd.it/cck5ld,4.5,,cinema,2025-12-23
2026-01-16,Stranger Things 5: The Finale,2025,https://boxd.it/cEjVZf,3.5,,netflix,2026-01-01
2026-01-03,Road Trip,2000,https://boxd.it/coB33j,2.5,,netflix,2026-01-02
2026-01-08,Buen Camino,2025,https://boxd.it/cvVIGT,3.5,,kraken,2026-01-07
2026-01-17,Zootopia,2016,https://boxd.it/cFeCgp,3.5,,kraken,2026-01-15
2026-01-17,No Other Choice,2025,https://boxd.it/cFJqNt,5,,cinema,2026-01-16
2026-01-20,Sympathy for Mr. Vengeance,2002,https://boxd.it/cJi1rp,4.5,,prime,2026-01-19
2026-01-21,Lady Vengeance,2005,https://boxd.it/cJNNy1,4,,prime,2026-01-20
2026-01-22,Home,2015,https://boxd.it/cKMk9D,2,,netflix,2026-01-20
2026-01-22,Playing God,2024,https://boxd.it/cLvRDr,4,,,2026-01-22
2026-01-23,One Man Up,2001,https://boxd.it/cLLDHr,4.5,,kraken,2026-01-22
2026-01-23,La Grazia,2025,https://boxd.it/cLZmHx,4.5,,cinema,2026-01-22
2026-01-28,Casino Royale,2006,https://boxd.it/cRN3JJ,4,,netflix,2026-01-27
2026-01-30,Compagni di scuola,1988,https://boxd.it/cTBegn,4.5,,netflix,2026-01-29
2026-02-05,Marty Supreme,2025,https://boxd.it/cZwTdN,4.5,,cinema,2026-02-04
2026-02-11,Following,1998,https://boxd.it/d4Ct19,4.5,,mubi,2026-02-10
2026-02-11,The Housemaid,2025,https://boxd.it/d4ZutT,3.5,,kraken,2026-02-10
2026-02-13,Una terapia di gruppo,2024,https://boxd.it/d6zgnD,3,,netflix,2026-02-12
2026-02-15,AlphaGo,2017,https://boxd.it/d8ihOf,4,,youtube,2026-02-14
2026-02-18,Crime 101,2026,https://boxd.it/dbylg1,3.5,,cinema,2026-02-17
2026-03-13,How to Have Sex,2023,https://boxd.it/duvYp7,3.5,,mubi,2026-03-12
2026-03-22,Sinners,2025,https://boxd.it/dD16Bf,4.5,,cinema,2026-03-21
2026-03-23,Project Hail Mary,2026,https://boxd.it/dDG8Yn,4.5,,cinema,2026-03-22
2026-03-27,Polytechnique,2009,https://boxd.it/dGLnvx,4,,mubi,2026-03-26
2026-05-03,The Devil Wears Prada 2,2026,https://boxd.it/ed1ztj,3,,cinema,2026-05-02
2026-05-10,Unnatural Selection,2019,https://boxd.it/eikLKz,4,,netflix,2026-05-09
2026-05-14,Michael,2026,https://boxd.it/elPLCz,4,,cinema,2026-05-13
2026-05-19,Obsession,2025,https://boxd.it/eq40nN,4,,cinema,2026-05-18
2026-05-23,La Pallastrike sull'Isola di Pasqua,2008,https://boxd.it/etlkeH,3.5,Yes,youtube,2026-05-23
2026-05-23,Gli Straspeed a Crazy World,2008,https://boxd.it/etmoYB,3.5,Yes,youtube,2026-05-23
